Elements,Times,Dates,Deweys,Titles
"Klondike River Valley Yukon Gold discoveries",17:21:00,2011-05-20,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush"
"Klondike Gold Rush National Historical Park Alaska and Wash History",17:21:00,2011-05-20,979,"Hard drive to the Klondike promoting Seattle during the Gold Rush"
"Triangle Shirtwaist Company Fire 1911",10:57:00,2011-05-21,974,"Triangle fire the tragedy that forever changed labor and industry"
"San Francisco Earthquake and Fire Calif 1906",11:23:00,2011-05-21,979,"San Francisco earthquake"
"Yukon River Valley Yukon and Alaska Gold discoveries",13:59:00,2011-05-21,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"United States Gold discoveries",14:17:00,2011-05-21,622,"gold rush"
"San Francisco Earthquake and Fire Calif 1906",14:17:00,2011-05-21,979,"San Francisco earthquake"
"California Gold discoveries Miscellanea",14:17:00,2011-05-21,979,"Gold rush a literary exploration"
"Yukon River Valley Yukon and Alaska Gold discoveries",16:28:00,2011-05-21,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"Bottled water industry",17:30:00,2011-05-21,338,Tapped
"California Gold discoveries Juvenile films",17:31:00,2011-05-21,398,"Darlin Clementine"
"Oil wells Fires and fire prevention Kuwait",13:09:00,2011-05-22,622,"Lessons of darkness Fata morgana"
"California Gold discoveries Juvenile literature",13:26:00,2011-05-22,979,"How to get rich in the California Gold Rush an adventurers guide to the fabulous riches disovered in 1848"
"California Gold discoveries",13:26:00,2011-05-22,979,"How to get rich in the California Gold Rush an adventurers guide to the fabulous riches disovered in 1848"
"California Gold discoveries Juvenile literature",16:14:00,2011-05-22,979,"Hurry freedom African Americans in Gold Rush California"
"California Gold discoveries",16:14:00,2011-05-22,979,"Hurry freedom African Americans in Gold Rush California"
"Yukon River Valley Yukon and Alaska Gold discoveries",10:26:00,2011-05-23,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"Tlingit wood carving",12:11:00,2011-05-23,745,"How to carve a Tlingit tray"
"California Gold discoveries Juvenile literature",12:28:00,2011-05-23,979,"Lost in Death Valley the true story of four families in Californias gold rush"
"California Gold discoveries",12:28:00,2011-05-23,979,"Lost in Death Valley the true story of four families in Californias gold rush"
"Bottled water industry",12:57:00,2011-05-23,338,"Coke machine the dirty truth behind the worlds favorite soft drink"
"Oil wells Fires and fire prevention Kuwait",13:15:00,2011-05-23,622,"Lessons of darkness Fata morgana"
"White water canoeing Chile",13:35:00,2011-05-23,918,"Exploring horizons Divine by nature Futaleufu Chile"
"Yukon River Valley Yukon and Alaska Gold discoveries",14:25:00,2011-05-23,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"Montana Gold discoveries Sources",14:42:00,2011-05-23,978,"Journeys to the land of gold emigrant diaries from the Bozeman Trail 1863 1866"
"Yukon River Valley Yukon and Alaska Gold discoveries",17:12:00,2011-05-23,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"Oil industries Alberta Water supply",17:54:00,2011-05-23,628,H2Oil
"Oil pollution of water Alberta",17:54:00,2011-05-23,628,H2Oil
"Oil pollution of water Alberta Prevention",17:54:00,2011-05-23,628,H2Oil
"United States Gold discoveries",18:20:00,2011-05-23,622,"gold rush"
"Drinking water Contamination Handbooks manuals etc",10:19:00,2011-05-24,628,"Occurrence and removal of volatile organic chemicals from drinking water cooperative research report"
"Organic water pollutants Handbooks manuals etc",10:19:00,2011-05-24,628,"Occurrence and removal of volatile organic chemicals from drinking water cooperative research report"
"San Francisco Earthquake and Fire Calif 1906",12:17:00,2011-05-24,979,"San Francisco earthquake"
"Oil industries Alberta Water supply",12:37:00,2011-05-24,628,H2Oil
"Oil pollution of water Alberta",12:37:00,2011-05-24,628,H2Oil
"Oil pollution of water Alberta Prevention",12:37:00,2011-05-24,628,H2Oil
"Saline water conversion Developing countries",13:15:00,2011-05-24,333,"Use of non conventional water resources in developing countries"
"Bottled water industry",13:22:00,2011-05-24,338,Tapped
"Drinking water Juvenile literature",14:39:00,2011-05-24,363,"cool drink of water"
"San Francisco Earthquake and Fire Calif 1906",14:57:00,2011-05-24,979,"San Francisco earthquake"
"San Francisco Earthquake and Fire Calif 1906",17:04:00,2011-05-24,363,"San Francisco is burning the untold story of the 1906 earthquake and fires"
"Bottled water industry Social aspects",19:44:00,2011-05-24,338,"Bottlemania how water went on sale and why we bought it"
"Bottled water Social aspects",19:44:00,2011-05-24,338,"Bottlemania how water went on sale and why we bought it"
"Laminated wood construction Amateurs manuals",10:24:00,2011-05-25,623,"Woodstrip rowing craft how to build step by step"
"California Gold discoveries",11:25:00,2011-05-25,979,"age of gold the California Gold Rush and the new American dream"
"California Gold discoveries Social aspects",11:25:00,2011-05-25,979,"age of gold the California Gold Rush and the new American dream"
"San Francisco Earthquake and Fire Calif 1906",14:40:00,2011-05-25,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Triangle Shirtwaist Company Fire 1911",14:47:00,2011-05-25,974,"Triangle the fire that changed America"
"Lady in the water Motion picture",19:52:00,2011-05-25,791,"man who heard voices or how M Night Shyamalan risked his career on a fairy tale"
"Yukon River Valley Yukon and Alaska Gold discoveries",11:40:00,2011-05-26,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"Stoves Wood Design and construction",11:41:00,2011-05-26,697,"Fire places a practical design guide to fireplaces and stoves indoors and out"
"Bottled water industry",12:07:00,2011-05-26,338,Tapped
"New York N Y Fire Dept",13:36:00,2011-05-26,363,"Twin towers"
"Triangle Shirtwaist Company Fire 1911",16:38:00,2011-05-26,974,"Triangle fire the tragedy that forever changed labor and industry"
"Drinking water Health aspects",17:04:00,2011-05-26,615,"Water the ultimate cure"
"Stoves Wood Design and construction",17:42:00,2011-05-26,697,"Fire places a practical design guide to fireplaces and stoves indoors and out"
"White water canoeing",17:44:00,2011-05-26,797,"Kayak the animated manual of intermediate and advanced whitewater technique"
"Laminated wood construction Amateurs manuals",11:31:00,2011-05-27,623,"Woodstrip rowing craft how to build step by step"
"Yukon River Valley Yukon and Alaska Gold discoveries",13:18:00,2011-05-27,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"Klondike River Valley Yukon Gold discoveries",15:25:00,2011-05-27,971,"Gold diggers striking it rich in the Klondike"
"Oil industries Alberta Water supply",17:34:00,2011-05-27,628,H2Oil
"Oil pollution of water Alberta",17:34:00,2011-05-27,628,H2Oil
"Oil pollution of water Alberta Prevention",17:34:00,2011-05-27,628,H2Oil
"Klondike River Valley Yukon Gold discoveries",12:23:00,2011-05-28,971,"Gold diggers striking it rich in the Klondike"
"Swimming pools Water supply",14:54:00,2011-05-28,690,"ultimate pool maintenance manual spas pools hot tubs rockscapes and other water features"
"United States Gold discoveries",16:01:00,2011-05-28,622,"gold rush"
"San Francisco Earthquake and Fire Calif 1906",16:59:00,2011-05-28,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Oil wells Fires and fire prevention Kuwait",14:37:00,2011-05-29,622,"Lessons of darkness Fata morgana"
"San Francisco Earthquake and Fire Calif 1906",15:14:00,2011-05-29,979,"crack in the edge of the world America and the great California earthquake of 1906"
"Klondike River Valley Yukon Gold discoveries Pictorial works",11:25:00,2011-05-31,971,"Klondike scrapbook ordinary people extraordinary times"
"Klondike River Valley Yukon Gold discoveries",11:25:00,2011-05-31,971,"This was Klondike fever"
"Klondike River Valley Yukon Gold discoveries",11:25:00,2011-05-31,971,"Klondike lost a decade of photographs by Kinsey Kinsey"
"Klondike River Valley Yukon Gold discoveries",11:25:00,2011-05-31,971,"Faith of fools a journal of the Klondike Gold Rush"
"Klondike River Valley Yukon Gold discoveries Pictorial works",11:25:00,2011-05-31,971,"Faith of fools a journal of the Klondike Gold Rush"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",11:25:00,2011-05-31,971,"Gold the Klondike adventure"
"Klondike River Valley Yukon Gold discoveries",11:25:00,2011-05-31,971,"Gold the Klondike adventure"
"Klondike River Valley Yukon Gold discoveries Juvenile literature",11:25:00,2011-05-31,971,"Yukon gold the story of the Klondike Gold Rush"
"Klondike River Valley Yukon Gold discoveries",11:25:00,2011-05-31,971,"Yukon gold the story of the Klondike Gold Rush"
"Klondike River Valley Yukon Gold discoveries",11:25:00,2011-05-31,971,"Klondike gold rush photographs from 1896 1899"
"Klondike River Valley Yukon Gold discoveries Pictorial works",11:25:00,2011-05-31,971,"Klondike gold rush photographs from 1896 1899"
"San Francisco Earthquake and Fire Calif 1906",12:01:00,2011-05-31,979,"San Francisco earthquake"
"San Francisco Earthquake and Fire Calif 1906",13:47:00,2011-05-31,979,"San Francisco earthquake"
"Oil industries Alberta Water supply",14:18:00,2011-05-31,628,H2Oil
"Oil pollution of water Alberta",14:18:00,2011-05-31,628,H2Oil
"Oil pollution of water Alberta Prevention",14:18:00,2011-05-31,628,H2Oil
"Oil industries Alberta Water supply",16:46:00,2011-05-31,628,H2Oil
"Oil pollution of water Alberta",16:46:00,2011-05-31,628,H2Oil
"Oil pollution of water Alberta Prevention",16:46:00,2011-05-31,628,H2Oil
"Bottled water industry Social aspects",17:10:00,2011-05-31,338,"Bottlemania how water went on sale and why we bought it"
"Bottled water Social aspects",17:10:00,2011-05-31,338,"Bottlemania how water went on sale and why we bought it"
"San Francisco Earthquake and Fire Calif 1906",18:47:00,2011-05-31,979,"San Francisco earthquake"
"Forest fire fighters",12:32:00,2011-06-01,363,"Forest firefighter"
"Forest fire fighters Juvenile literature",12:32:00,2011-06-01,363,"Forest firefighter"
"Indian wood carving Alaska History",14:03:00,2011-06-01,979,"Alaskas totem poles"
"California Gold discoveries",15:15:00,2011-06-01,979,"Eldorado the California Gold Rush"
"Indian wood carving Washington State Juvenile literature",15:55:00,2011-06-01,979,"People of salmon and cedar"
"Klondike River Valley Yukon Gold discoveries Fiction",16:36:00,2011-06-01,823,"call of the wild"
"Yukon River Valley Yukon and Alaska Gold discoveries",17:42:00,2011-06-01,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"New York N Y Fire Dept",17:51:00,2011-06-01,282,"Saint of 9 11 the true story of Father Mychal Judge"
"New York N Y Fire Department",17:51:00,2011-06-01,282,"Saint of 9 11 the true story of Father Mychal Judge"
"California Gold discoveries Juvenile literature",18:02:00,2011-06-01,979,"California Gold Rush a guide to California in the 1850s"
"California Gold discoveries",18:02:00,2011-06-01,979,"California Gold Rush a guide to California in the 1850s"
"Oil industries Alberta Water supply",10:47:00,2011-06-02,628,H2Oil
"Oil pollution of water Alberta",10:47:00,2011-06-02,628,H2Oil
"Oil pollution of water Alberta Prevention",10:47:00,2011-06-02,628,H2Oil
"Klondike River Valley Yukon Gold discoveries",11:24:00,2011-06-02,971,"Gold diggers striking it rich in the Klondike"
"Bottled water industry",12:02:00,2011-06-02,338,Tapped
"California Gold discoveries Fiction",12:32:00,2011-06-02,863,"Hija de la fortuna"
"Triangle Shirtwaist Company Fire 1911",12:47:00,2011-06-02,974,"Triangle fire the tragedy that forever changed labor and industry"
"Hell Fire Club Medmenham England",14:05:00,2011-06-02,366,"Hell Fire clubs sex Satanism and secret societies"
"Shawinigan Water and Power Company History",14:13:00,2011-06-02,741,"White Rapids"
"Oil industries Alberta Water supply",15:40:00,2011-06-02,628,H2Oil
"Oil pollution of water Alberta",15:40:00,2011-06-02,628,H2Oil
"Oil pollution of water Alberta Prevention",15:40:00,2011-06-02,628,H2Oil
"White water canoeing Oregon Rogue River",16:56:00,2011-06-02,979,"Rogue a river to run the story of pioneer whitewater river runner Glen Wooldridge and his first eighty years on the Rogue River"
"Klondike River Valley Yukon Gold discoveries",18:13:00,2011-06-02,917,"Klondike fever the life and death of the last great gold rush"
"Triangle Shirtwaist Company Fire 1911 Juvenile literature",10:02:00,2011-06-03,974,"Triangle Shirtwaist Factory fire its legacy of labor rights"
"Triangle Shirtwaist Company Fire 1911",10:02:00,2011-06-03,974,"Triangle Shirtwaist Factory fire its legacy of labor rights"
"Yukon River Valley Yukon and Alaska Gold discoveries",14:09:00,2011-06-03,971,"floor of heaven a true tale of the last frontier and the Yukon gold rush"
"Indian wood carving Northwest Coast of North America Juvenile literature",14:18:00,2011-06-03,745,"bentwood box an activity book for kids from ages 9 12 including adult teaching guides"
"California Gold discoveries Juvenile literature",14:28:00,2011-06-03,979,"gold rush"
"California Gold discoveries",14:28:00,2011-06-03,979,"gold rush"
"San Francisco Earthquake and Fire Calif 1906",15:20:00,2011-06-03,979,"San Francisco earthquake"
"Bottled water industry",12:23:00,2011-06-04,338,Tapped
"Drinking water Juvenile literature",12:41:00,2011-06-04,363,"cool drink of water"
"New York N Y Fire Dept",15:25:00,2011-06-04,363,"Twin towers"
"Robert Wood Johnson Foundation History",17:27:00,2011-06-04,362,"Helping shape the nations health care system a report on the Robert Wood Johnson Foundations program activities 1972 1989"
"Klondike River Valley Yukon Gold discoveries",17:34:00,2011-06-04,971,"Gold diggers striking it rich in the Klondike"
